Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Glizzy Gladiators,7,L. Jackson QB - BAL,13.02,J. Ford RB - CLE,10.9,A. Kamara RB - NO,11.5,D. Johnson WR,1.7,D. Adams WR - LAR,8.6,D. Schultz TE - HOU,7.1,K. Walker RB - SEA,18.7,B. Aubrey K - DAL,7.0,Cowboys DEF,8.0,C. Godwin WR - TB,5.4,Z. Moss RB,0.2,T. Kelce TE - KC,0.0,R. Mostert RB - LV,0.0,T. Hill WR - MIA,0.0,P. Nacua WR - LAR,0.0,Chiefs DEF,0.0,86.52,Snatchville Lubricators,88.46
Snatchville Lubricators,6,W. Levis QB - TEN,5.96,J. Taylor RB - IND,13.5,B. Robinson RB - ATL,16.6,D. Hopkins WR - BAL,2.7,T. McLaurin WR - WAS,3.3,G. Kittle TE - SF,17.6,J. Conner RB - ARI,7.3,D. Carlson K - LV,14.5,Bears DEF,7.0,B. Cooks WR - NO,23.3,G. Wilson WR - NYJ,9.3,G. Davis WR - BUF,7.6,Z. Charbonnet RB - SEA,6.2,J. Hurts QB - PHI,0.0,J. Waddle WR - MIA,0.0,,,88.46,Glizzy Gladiators,86.52
Simon2307,3,D. Prescott QB - DAL,37.86,A. Ekeler RB - WAS,17.5,D. Montgomery RB - DET,17.6,A. Cooper WR,9.8,D. Moore WR - CHI,5.9,T. Hockenson TE - MIN,19.4,A. Jones RB - MIN,5.4,T. Bass K - BUF,2.0,Saints DEF,1.0,N. Harris RB - LAC,15.6,C. Kirk WR - HOU,8.4,M. Pittman WR - IND,8.4,A. Mattison RB - MIA,3.3,T. Lawrence QB - JAX,2.1,A. Brown WR - PHI,0.0,D. Achane RB - MIA,0.0,116.46,Andertheker,101.04
Andertheker,5,B. Purdy QB - SF,23.84,J. Jacobs RB - GB,10.7,D. Henry RB - BAL,2.0,A. Thielen WR - MIN,4.2,M. Evans WR - TB,20.3,C. Kmet TE - CHI,4.6,D. Metcalf WR - PIT,9.8,Y. Koo K - NYG,5.6,49ers DEF,20.0,Browns DEF,13.0,J. Cook RB - BUF,10.0,K. Hunt RB - KC,9.2,H. Brown WR - KC,2.8,P. Mahomes QB - KC,0.0,T. Higgins WR - CIN,0.0,K. Williams RB - LAR,0.0,101.04,Simon2307,116.46
I_hate_Kowa,2,J. Allen QB - BUF,14.38,T. Etienne RB - JAX,4.4,S. Barkley RB - PHI,6.1,J. Chase WR - CIN,18.4,K. Allen WR - LAC,29.5,K. Pitts TE - ATL,3.0,A. St. Brown WR - DET,22.5,D. Hopkins K,14.6,Jets DEF,8.0,D. Foreman RB,15.2,Z. Flowers WR - BAL,7.3,M. Sanders RB - DAL,1.0,D. Goedert TE - PHI,0.0,D. Swift RB - CHI,0.0,N. Collins WR - HOU,0.0,,,120.88,Suckme Mourdock Network,76.8
Suckme Mourdock Network,8,D. Carr QB,5.4,T. Pollard RB - TEN,5.5,J. Williams RB - DAL,17.0,G. Pickens WR - DAL,4.5,M. Thomas WR,0.9,M. Andrews TE - BAL,4.4,R. Stevenson RB - NE,10.2,J. Myers K - SEA,22.9,Bills DEF,6.0,D. Samuel WR - WAS,11.9,G. Edwards RB,8.8,J. Williams RB,1.0,H. Butker K - KC,0.0,J. Jefferson WR - MIN,0.0,J. Fields QB - NYJ,0.0,I. Pacheco RB - KC,0.0,76.8,I_hate_Kowa,120.88
oG United,1,J. Herbert QB - LAC,28.42,J. Mixon RB - HOU,10.5,C. McCaffrey RB - SF,14.2,B. Aiyuk WR - SF,11.5,C. Lamb WR - DAL,28.5,D. Kincaid TE - BUF,11.1,R. White RB - TB,15.8,J. Tucker K,7.7,Ravens DEF,14.0,K. Mitchell RB - BAL,12.6,J. Addison WR - MIN,6.9,C. Ridley WR - TEN,2.0,L. Fournette RB,0.0,C. Kupp WR - SEA,0.0,T. Tagovailoa QB - MIA,0.0,,,141.72,Juschka,107.18
Juschka,4,J. Burrow QB - CIN,19.88,B. Hall RB - NYJ,7.5,B. Robinson RB - SF,21.7,S. Diggs WR - NE,3.4,C. Olave WR - NO,15.4,S. LaPorta TE - DET,4.0,J. Gibbs RB - DET,23.2,M. Gay K - WAS,6.1,Steelers DEF,6.0,J. Downs WR - IND,4.0,D. London WR - ATL,3.6,T. Hill TE - NO,2.3,D. Smith WR - PHI,0.0,K. Gainwell RB - PIT,0.0,K. Herbert RB - NYJ,0.0,,,107.18,oG United,141.72
