Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Glizzy Gladiators,2,L. Jackson QB - BAL,22.88,D. Pierce RB - HOU,3.5,K. Walker RB - SEA,17.4,D. Adams WR - LAR,14.4,M. Williams WR,8.6,T. Kelce TE - KC,8.6,T. Hill WR - MIA,10.0,J. Moody K - CHI,14.7,Saints DEF,7.0,R. Mostert RB - LV,24.7,P. Nacua WR - LAR,15.1,J. Addison WR - MIN,13.2,J. Warren RB - PIT,8.6,C. Godwin WR - TB,5.8,J. Smith-Njigba WR - SEA,3.4,J. Dotson WR - PHI,2.2,107.08,Juschka,78.18
Juschka,7,J. Burrow QB - CIN,15.38,N. Chubb RB - HOU,6.4,J. Gibbs RB - DET,5.6,S. Diggs WR - NE,6.6,D. Smith WR - PHI,19.1,K. Pitts TE - ATL,1.5,C. Olave WR - NO,8.6,J. Sanders K - MIA,6.0,Eagles DEF,9.0,B. Robinson RB - SF,26.9,D. London WR - ATL,12.7,K. Herbert RB - NYJ,5.8,R. Penny RB,1.4,B. Hall RB - NYJ,0.9,K. Gainwell RB - PIT,0.0,,,78.18,Glizzy Gladiators,107.08
Snatchville Lubricators,4,J. Hurts QB - PHI,25.22,J. Conner RB - ARI,16.6,B. Robinson RB - ATL,17.2,G. Wilson WR - NYJ,14.3,J. Waddle WR - MIA,8.4,G. Kittle TE - SF,3.0,D. Hopkins WR - BAL,4.0,D. Carlson K - LV,5.7,Dolphins DEF,9.0,G. Davis WR - BUF,15.2,D. Watson QB - CLE,11.6,T. McLaurin WR - WAS,11.4,Z. Charbonnet RB - SEA,3.0,S. Perine RB - CIN,2.4,B. Cooks WR - NO,0.0,J. Taylor RB - IND,0.0,103.42,oG United,92.0
oG United,6,J. Herbert QB - LAC,22.2,C. McCaffrey RB - SF,19.5,J. Mixon RB - HOU,9.5,C. Ridley WR - TEN,3.2,B. Aiyuk WR - SF,4.3,D. Waller TE - MIA,7.6,C. Lamb WR - DAL,14.3,J. Tucker K,11.4,Broncos DEF,0.0,T. Lockett WR - TEN,17.9,R. White RB - TB,16.3,J. Hill RB - BAL,5.3,Ravens DEF,3.0,J. Jeudy WR - CLE,2.5,T. Higbee TE - LAR,1.2,C. Kupp WR - SEA,0.0,92.0,Snatchville Lubricators,103.42
Simon2307,8,T. Lawrence QB - JAX,9.24,D. Montgomery RB - DET,11.4,J. Kelley RB,3.9,A. Brown WR - PHI,2.9,A. Cooper WR,9.0,T. Hockenson TE - MIN,18.6,M. Pittman WR - IND,5.6,T. Bass K - BUF,8.0,Patriots DEF,3.0,C. Kirk WR - HOU,10.96,D. Moore WR - CHI,10.4,N. Harris RB - LAC,4.3,A. Mattison RB - MIA,1.9,A. Jones RB - MIN,0.0,A. Ekeler RB - WAS,0.0,,,71.64,I_hate_Kowa,107.66
I_hate_Kowa,1,J. Allen QB - BUF,23.66,S. Barkley RB - PHI,21.2,T. Etienne RB - JAX,4.2,J. Chase WR - CIN,3.1,A. St. Brown WR - DET,8.2,D. Goedert TE - PHI,2.2,K. Allen WR - LAC,23.1,J. Myers K - SEA,7.0,Cowboys DEF,15.0,D. Swift RB - CHI,24.1,Z. Flowers WR - BAL,6.8,A. Gibson RB - NE,5.3,T. Allgeier RB - ATL,4.8,M. Sanders RB - DAL,4.7,D. Johnson WR,0.0,,,107.66,Simon2307,71.64
Andertheker,3,P. Mahomes QB - KC,21.2,D. Henry RB - BAL,15.5,J. Jacobs RB - GB,4.9,T. Higgins WR - CIN,20.9,M. Evans WR - TB,23.1,D. Njoku TE - CLE,2.8,D. Metcalf WR - PIT,7.5,E. McPherson K - CIN,6.0,49ers DEF,5.0,K. Williams RB - LAR,22.0,J. Cook RB - BUF,15.9,C. Sutton WR - DEN,6.6,A. Dillon RB - PHI,6.3,C. Watson WR - GB,0.0,D. Cook RB,-0.8,,,106.9,Suckme Mourdock Network,98.84
Suckme Mourdock Network,5,J. Fields QB - NYJ,14.74,T. Pollard RB - TEN,12.9,J. Williams RB,2.9,J. Jefferson WR - MIN,13.9,D. Samuel WR - WAS,16.1,M. Andrews TE - BAL,10.5,R. Stevenson RB - NE,12.0,H. Butker K - KC,5.8,Bills DEF,10.0,G. Pickens WR - DAL,18.7,I. Pacheco RB - KC,7.0,J. Williams RB - DAL,5.8,M. Thomas WR,5.5,K. Toney WR,3.8,J. Johnson TE - NO,1.3,,,98.84,Andertheker,106.9
