TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
oG United	1	Jottage	4	124.12	123.30
Weizen Express	2	ShamH	2	118.54	111.56
Los Cheezos Ritzos	3	LosSausages	1	89.40	96.36
Show Me Your TDs	4	theBIGLebronski	3	91.10	62.76
Snatchville Lubricators	5	kesso	5	93.50	98.30
Juschka	6	Juschka	7	104.96	55.98
SimonFuhr237	7	SimonFuhr237	6	94.74	92.26
Suckme Mourdock Network	8	lancemourdock	8	81.94	80.54
