Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Glizzy Gladiators,6,L. Jackson QB - BAL,11.98,K. Walker RB - SEA,7.0,A. Kamara RB - NO,23.0,T. Hill WR - MIA,17.2,D. Adams WR - LAR,1.1,T. Kelce TE - KC,5.8,R. Mostert RB - LV,10.6,J. Elliott K - PHI,10.1,Jets DEF,8.0,Z. Moss RB,13.4,Cowboys DEF,13.0,C. Godwin WR - TB,12.8,D. Pierce RB - HOU,4.6,P. Nacua WR - LAR,4.3,J. Ford RB - CLE,3.9,,,94.78,oG United,118.02
oG United,3,J. Herbert QB - LAC,24.02,J. Mixon RB - HOU,17.0,C. McCaffrey RB - SF,23.8,C. Kupp WR - SEA,2.1,C. Lamb WR - DAL,29.0,D. Waller TE - MIA,0.4,B. Aiyuk WR - SF,10.9,J. Tucker K,8.8,Eagles DEF,2.0,J. Addison WR - MIN,14.4,D. Kincaid TE - BUF,12.5,R. White RB - TB,10.9,C. Ridley WR - TEN,8.3,Ravens DEF,6.0,R. Johnson RB - CHI,3.1,,,118.02,Glizzy Gladiators,94.78
Snatchville Lubricators,4,J. Hurts QB - PHI,27.36,J. Taylor RB - IND,9.7,B. Robinson RB - ATL,12.2,J. Waddle WR - MIA,18.1,T. McLaurin WR - WAS,12.3,G. Kittle TE - SF,14.9,G. Wilson WR - NYJ,10.6,D. Carlson K - LV,2.0,Dolphins DEF,6.0,D. Hopkins WR - BAL,30.8,G. Davis WR - BUF,14.7,B. Cooks WR - NO,11.2,Z. Charbonnet RB - SEA,6.4,J. Palmer WR - BUF,2.4,S. Perine RB - CIN,2.1,J. Conner RB - ARI,0.0,113.16,Juschka,124.02
Juschka,1,J. Burrow QB - CIN,27.62,B. Hall RB - NYJ,15.3,J. Gibbs RB - DET,24.9,S. Diggs WR - NE,7.0,C. Olave WR - NO,4.6,S. LaPorta TE - DET,11.7,D. Smith WR - PHI,15.9,J. Sanders K - MIA,7.0,Steelers DEF,10.0,B. Purdy QB - SF,18.3,B. Robinson RB - SF,7.9,J. Downs WR - IND,7.2,D. London WR - ATL,5.5,K. Gainwell RB - PIT,0.6,K. Herbert RB - NYJ,0.0,,,124.02,Snatchville Lubricators,113.16
Simon2307,5,T. Lawrence QB - JAX,14.68,A. Ekeler RB - WAS,16.3,N. Harris RB - LAC,5.5,A. Brown WR - PHI,25.0,D. Moore WR - CHI,5.5,T. Hockenson TE - MIN,14.8,A. Jones RB - MIN,4.6,T. Bass K - BUF,6.7,Seahawks DEF,10.0,M. Pittman WR - IND,10.0,A. Cooper WR,8.9,C. Kirk WR - HOU,4.6,Saints DEF,4.0,A. Mattison RB - MIA,3.3,D. Montgomery RB - DET,0.0,D. Achane RB - MIA,0.0,103.08,Suckme Mourdock Network,75.06
Suckme Mourdock Network,8,K. Cousins QB - ATL,19.86,R. Stevenson RB - NE,5.0,I. Pacheco RB - KC,3.7,G. Pickens WR - DAL,8.2,M. Thomas WR,6.8,M. Andrews TE - BAL,10.0,T. Pollard RB - TEN,5.5,H. Butker K - KC,12.0,Bills DEF,4.0,G. Edwards RB,27.4,J. Williams RB - DAL,15.8,K. Osborn WR,9.9,J. Williams RB,3.8,D. Samuel WR - WAS,0.0,J. Jefferson WR - MIN,0.0,J. Fields QB - NYJ,0.0,75.06,Simon2307,103.08
Andertheker,7,P. Mahomes QB - KC,5.6,J. Cook RB - BUF,7.3,D. Henry RB - BAL,12.2,H. Brown WR - KC,9.3,M. Evans WR - TB,9.9,E. Engram TE - DEN,6.8,J. Jacobs RB - GB,14.8,J. Moody K - CHI,5.6,49ers DEF,4.0,T. Tagovailoa QB - MIA,21.76,K. Hunt RB - KC,12.7,A. Thielen WR - MIN,7.2,T. Higgins WR - CIN,6.9,D. Metcalf WR - PIT,6.7,C. Watson WR - GB,3.3,K. Williams RB - LAR,0.0,75.5,I_hate_Kowa,121.86
I_hate_Kowa,2,J. Allen QB - BUF,29.06,D. Swift RB - CHI,12.4,T. Etienne RB - JAX,22.9,J. Chase WR - CIN,15.2,K. Allen WR - LAC,6.9,D. Goedert TE - PHI,3.6,S. Barkley RB - PHI,12.8,D. Hopkins K,8.0,Jaguars DEF,11.0,A. St. Brown WR - DET,10.8,D. Foreman RB,3.6,K. Pitts TE - ATL,3.5,N. Collins WR - HOU,3.0,Z. Flowers WR - BAL,1.9,M. Sanders RB - DAL,0.0,,,121.86,Andertheker,75.5
