Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,6,P. Mahomes QB - KC,17.3,S. Barkley RB - PHI,8.8,R. Penny RB,1.5,C. Kupp WR - SEA,20.8,M. Williams WR,17.3,T. Kelce TE - KC,5.1,J. Conner RB - ARI,5.1,C. York K,6.0,Browns DEF,3.0,J. Waddle WR - MIA,29.1,D. Pierce RB - HOU,7.7,K. Hunt RB - KC,7.4,B. Cooks WR - NO,5.4,G. Davis WR - BUF,0.0,D. Mooney WR - ATL,-0.4,,,84.9,Tommy,127.32
Tommy,3,J. Hurts QB - PHI,33.02,D. Cook RB,3.6,J. Robinson RB,13.8,T. Hill WR - MIA,31.0,D. Samuel WR - WAS,9.7,K. Pitts TE - ATL,1.9,M. Sanders RB - DAL,8.6,D. Carlson K - LV,13.7,49ers DEF,12.0,C. Olave WR - NO,6.0,T. Etienne RB - JAX,5.3,A. Thielen WR - MIN,5.2,R. Woods WR,3.9,D. Metcalf WR - PIT,3.5,J. Dobbins RB - DEN,0.0,,,127.32,Benni,84.9
Kessi,2,J. Burrow QB - CIN,16.56,J. Taylor RB - IND,6.3,J. Williams RB - DAL,8.5,A. St. Brown WR - DET,30.4,D. London WR - ATL,16.6,D. Waller TE - MIA,11.0,A. Jones RB - MIN,29.0,B. McManus K - GB,12.0,Broncos DEF,7.0,A. Rodgers QB - PIT,16.36,D. Smith WR - PHI,8.0,A. Lazard WR - NYJ,7.3,M. Gordon RB,5.3,K. Allen WR - LAC,0.0,M. Pittman WR - IND,0.0,,,137.36,Marv,69.76
Marv,8,J. Herbert QB - LAC,23.46,J. Mixon RB - HOU,8.3,L. Fournette RB,7.4,J. Jefferson WR - MIN,4.8,A. Brown WR - PHI,6.9,T. Hockenson TE - MIN,2.6,T. McLaurin WR - WAS,8.2,W. Lutz K - DEN,4.1,Saints DEF,4.0,D. Harris RB,14.7,B. Hall RB - NYJ,12.0,C. Edmonds RB - WAS,4.1,H. Renfrow WR - CAR,3.9,D. Hopkins WR - BAL,0.0,,,,,69.76,Kessi,137.36
Simi,1,K. Murray QB - ARI,25.88,D. Henry RB - BAL,8.5,D. Swift RB - CHI,14.7,S. Diggs WR - NE,32.8,C. Sutton WR - DEN,12.7,M. Andrews TE - BAL,16.7,C. Edwards-Helaire RB - KC,11.8,T. Bass K - BUF,13.6,Bills DEF,20.0,T. Higgins WR - CIN,13.1,T. Lockett WR - TEN,10.7,D. Goedert TE - PHI,8.2,A. Dillon RB - PHI,6.7,J. Smith-Schuster WR - KC,1.0,E. Mitchell RB - KC,0.0,,,156.68,Erik,120.16
Erik,4,R. Wilson QB - NYG,11.06,C. McCaffrey RB - SF,12.8,N. Chubb RB - HOU,29.3,C. Lamb WR - DAL,8.1,D. Moore WR - CHI,10.3,Z. Ertz TE - WAS,7.5,J. Jeudy WR - CLE,1.2,E. McPherson K - CIN,13.9,Buccaneers DEF,26.0,A. Robinson WR,11.3,D. Henderson RB,10.7,C. Akers RB - MIN,6.2,D. Singletary RB - NYG,2.1,C. Godwin WR - TB,0.0,G. Kittle TE - SF,0.0,,,120.16,Simi,156.68
Ritz,5,L. Jackson QB - BAL,42.62,A. Ekeler RB - WAS,9.4,A. Gibson RB - NE,10.1,D. Adams WR - LAR,7.2,M. Thomas WR,12.5,D. Schultz TE - HOU,-0.2,E. Elliott RB,4.9,J. Tucker K,10.1,Packers DEF,9.0,A. Cooper WR,16.1,Ravens DEF,7.0,B. Aiyuk WR - SF,6.3,M. Carter RB - ARI,5.0,D. Knox TE - BUF,4.1,A. Kamara RB - NO,0.0,,,105.62,Juschka,74.08
Juschka,7,J. Allen QB - BUF,29.68,N. Harris RB - LAC,8.9,J. Jacobs RB - GB,8.1,J. Chase WR - CIN,5.8,M. Evans WR - TB,6.1,T. Hill TE - NO,1.4,C. Patterson RB,4.1,M. Prater K - BUF,1.0,Rams DEF,9.0,D. Montgomery RB - DET,13.6,J. Wilson RB - MIA,10.3,D. Johnson WR,7.7,H. Brown WR - KC,6.8,J. Warren RB - PIT,1.5,M. Valdes-Scantling WR - SF,1.3,,,74.08,Ritz,105.62
