Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,1,P. Mahomes QB - KC,34.9,S. Barkley RB - PHI,27.4,J. Conner RB - ARI,11.5,C. Kupp WR - SEA,18.8,M. Williams WR,1.0,T. Kelce TE - KC,18.1,R. Penny RB,6.7,M. Gay K - WAS,6.7,Colts DEF,6.0,K. Hunt RB - KC,19.0,G. Davis WR - BUF,14.8,J. Waddle WR - MIA,13.7,B. Cooks WR - NO,8.2,D. Pierce RB - HOU,3.9,D. Mooney WR - ATL,0.8,,,131.1,Juschka,94.48
Juschka,6,J. Allen QB - BUF,31.48,N. Harris RB - LAC,8.6,J. Jacobs RB - GB,7.3,J. Chase WR - CIN,18.9,M. Evans WR - TB,13.1,M. Gesicki TE - CIN,0.1,D. Montgomery RB - DET,5.0,M. Prater K - BUF,1.0,Rams DEF,9.0,C. Patterson RB,19.6,H. Brown WR - KC,10.3,M. Hardman WR,7.6,D. Johnson WR,5.5,M. Valdes-Scantling WR - SF,4.1,T. Pollard RB - TEN,2.2,,,94.48,Benni,131.1
Kessi,4,J. Burrow QB - CIN,18.22,J. Taylor RB - IND,23.5,J. Williams RB - DAL,8.8,K. Allen WR - LAC,6.6,M. Pittman WR - IND,18.1,D. Waller TE - MIA,7.9,A. Jones RB - MIN,7.6,H. Butker K - KC,9.4,Broncos DEF,5.0,A. St. Brown WR - DET,12.4,D. London WR - ATL,7.4,M. Gordon RB,5.2,A. Rodgers QB - PIT,3.7,A. Lazard WR - NYJ,0.0,D. Smith WR - PHI,0.0,,,105.12,Erik,81.1
Erik,8,R. Wilson QB - NYG,17.8,C. McCaffrey RB - SF,11.7,C. Akers RB - MIN,0.0,C. Lamb WR - DAL,2.9,D. Moore WR - CHI,5.0,P. Freiermuth TE - PIT,7.5,N. Chubb RB - HOU,14.3,E. McPherson K - CIN,8.9,Buccaneers DEF,13.0,J. Jeudy WR - CLE,16.2,D. Singletary RB - NYG,6.2,C. Godwin WR - TB,3.5,R. Stevenson RB - NE,2.7,A. Robinson WR,1.2,G. Kittle TE - SF,0.0,,,81.1,Kessi,105.12
Simi,3,K. Murray QB - ARI,20.62,D. Henry RB - BAL,8.2,D. Swift RB - CHI,23.5,S. Diggs WR - NE,18.2,T. Higgins WR - CIN,2.7,M. Andrews TE - BAL,5.2,E. Mitchell RB - KC,4.1,T. Bass K - BUF,8.1,Bills DEF,17.0,C. Edwards-Helaire RB - KC,19.4,A. Dillon RB - PHI,15.1,C. Sutton WR - DEN,7.2,D. Goedert TE - PHI,6.0,J. Smith-Schuster WR - KC,5.9,T. Lockett WR - TEN,2.8,,,107.62,Marv,122.66
Marv,2,J. Herbert QB - LAC,23.26,J. Mixon RB - HOU,14.5,L. Fournette RB,13.7,J. Jefferson WR - MIN,30.4,A. Brown WR - PHI,15.5,T. Hockenson TE - MIN,3.8,C. Edmonds RB - WAS,6.5,W. Lutz K - DEN,11.0,Saints DEF,4.0,T. McLaurin WR - WAS,11.8,D. Harris RB,5.8,D. Prescott QB - DAL,4.46,B. Hall RB - NYJ,4.1,H. Renfrow WR - CAR,2.1,D. Hopkins WR - BAL,0.0,,,122.66,Simi,107.62
Ritz,7,L. Jackson QB - BAL,20.22,A. Ekeler RB - WAS,7.2,A. Kamara RB - NO,4.6,D. Adams WR - LAR,20.1,B. Aiyuk WR - SF,4.7,D. Schultz TE - HOU,6.2,E. Elliott RB,4.9,J. Tucker K,6.0,Ravens DEF,11.0,M. Thomas WR,17.7,A. Gibson RB - NE,13.0,M. Carter RB - ARI,10.0,A. Cooper WR,1.7,Packers DEF,1.0,D. Knox TE - BUF,0.5,,,84.92,Tommy,95.52
Tommy,5,J. Hurts QB - PHI,24.72,D. Cook RB,10.8,T. Etienne RB - JAX,6.5,T. Hill WR - MIA,10.0,D. Samuel WR - WAS,10.6,K. Pitts TE - ATL,1.9,M. Sanders RB - DAL,16.5,D. Carlson K - LV,9.5,49ers DEF,5.0,C. Olave WR - NO,6.1,C. Claypool WR,5.4,A. Thielen WR - MIN,3.6,D. Metcalf WR - PIT,1.6,R. Woods WR,1.3,J. Dobbins RB - DEN,0.0,,,95.52,Ritz,84.92
