TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Suckme Mourdock Network	1	lancemourdock	1	0.00	0.00
Dreggsverein	2	ShamH	2	0.00	0.00
oG United	3	Jottage	3	0.00	0.00
Snatchville Lubricators	4	kesso	4	0.00	0.00
Talahon United	5	Simon2307	5	0.00	0.00
Extrem durstige Welse	6	LosSausages	6	0.00	0.00
Juschka	7	Juschka	7	0.00	0.00
I_hate_Kowa	8	theBIGLebronski	8	0.00	0.00
