TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
Suckme Mourdock Network	1	5-0-9	546.98	438.74		lancemourdock	3	0	8
Dreggsverein	2	4-1-9	504.58	483.62		ShamH	25	0	5
oG United	3	3-2-9	481.38	435.96		Jottage	20	0	6
Snatchville Lubricators	4	3-2-9	462.96	469.62		kesso	3	0	7
Talahon United	5	2-3-9	453.36	467.50		Simon2307	5	0	4
Extrem durstige Welse	6	1-4-9	462.94	535.18		LosSausages	11	0	3
Juschka	7	1-4-9	462.82	540.04		Juschka	1	0	2
I_hate_Kowa	8	1-4-9	461.38	465.74		theBIGLebronski	5	0	1
