Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dreggsverein,4,J. Hurts QB - PHI,29.9,B. Robinson RB - ATL,14.5,J. Gibbs RB - DET,13.6,B. Thomas WR - JAX,4.2,M. Nabers WR - NYG,5.9,D. Njoku TE - CLE,2.9,T. Tracy RB - NYG,6.9,W. Reichard K - MIN,3.0,Chargers DEF,16.0,J. Daniels QB - WAS,19.86,J. Williams RB - DAL,8.4,T. Kraft TE - GB,3.6,J. Moody K - CHI,0.0,D. Johnson WR,0.0,T. Higgins WR - CIN,0.0,J. Williams WR - DET,0.0,96.9,Suckme Mourdock Network,91.1
Suckme Mourdock Network,6,J. Allen QB - BUF,22.1,J. Cook RB - BUF,6.9,B. Hall RB - NYJ,8.5,A. Brown WR - PHI,3.6,T. McLaurin WR - WAS,13.9,C. Kmet TE - CHI,0.0,K. Hunt RB - KC,17.7,K. Fairbairn K - HOU,9.4,Lions DEF,9.0,Z. Flowers WR - BAL,24.7,J. Dobbins RB - DEN,22.5,D. Adams WR - LAR,15.1,R. White RB - TB,9.5,N. Chubb RB - HOU,3.5,K. Pitts TE - ATL,1.1,,,91.1,Dreggsverein,96.9
Snatchville Lubricators,7,P. Mahomes QB - KC,24.54,D. Montgomery RB - DET,9.6,J. Taylor RB - IND,5.9,J. Chase WR - CIN,4.3,C. Kupp WR - SEA,10.4,J. Ferguson TE - DAL,7.1,C. Olave WR - NO,1.3,B. Aubrey K - DAL,10.1,Packers DEF,2.0,C. Sutton WR - DEN,16.28,T. Pollard RB - TEN,15.4,J. Waddle WR - MIA,5.6,G. Kittle TE - SF,0.0,Z. Moss RB,0.0,N. Harris RB - LAC,0.0,,,75.24,Extrem durstige Welse,91.94
Extrem durstige Welse,5,J. Burrow QB - CIN,29.14,K. Walker RB - SEA,10.7,K. Williams RB - LAR,9.5,T. Hill WR - MIA,8.0,L. McConkey WR - LAC,6.4,S. LaPorta TE - DET,2.8,B. Irving RB - TB,3.4,J. Tucker K,12.0,Bengals DEF,10.0,M. Andrews TE - BAL,2.6,J. Brooks RB - CAR,0.0,I. Guerendo RB - SF,0.0,D. Metcalf WR - PIT,0.0,I. Pacheco RB - KC,0.0,49ers DEF,0.0,X. Worthy WR - KC,-1.0,91.94,Snatchville Lubricators,75.24
Talahon United,2,K. Cousins QB - ATL,17.78,D. Henry RB - BAL,25.3,C. Hubbard RB - CAR,19.2,C. Lamb WR - DAL,8.2,D. Moore WR - CHI,3.3,D. Kincaid TE - BUF,3.2,J. Jacobs RB - GB,10.8,A. Seibert K,9.1,Vikings DEF,11.0,D. Hopkins WR - BAL,20.6,R. Stevenson RB - NE,17.4,C. Stroud QB - HOU,11.54,J. Reed WR - GB,11.3,M. Evans WR - TB,0.0,D. Samuel WR - WAS,0.0,,,107.88,oG United,70.26
oG United,8,K. Murray QB - ARI,4.76,C. Brown RB - CIN,21.7,J. Mixon RB - HOU,16.6,M. Harrison WR - ARI,1.4,P. Nacua WR - LAR,1.1,T. McBride TE - ARI,9.7,J. Downs WR - IND,6.0,H. Butker K - KC,7.0,Chiefs DEF,2.0,B. Mayfield QB - TB,18.0,C. Tillman WR - CLE,13.5,A. Mattison RB - MIA,3.6,A. Cooper WR,0.0,C. McCaffrey RB - SF,0.0,G. Pickens WR - DAL,0.0,J. Mason RB - MIN,0.0,70.26,Talahon United,107.88
I_hate_Kowa,1,L. Jackson QB - BAL,23.6,S. Barkley RB - PHI,29.9,A. Kamara RB - NO,21.5,A. St. Brown WR - DET,11.6,D. Smith WR - PHI,14.7,T. Kelce TE - KC,8.0,A. Jones RB - MIN,8.2,W. Lutz K - DEN,4.7,Saints DEF,3.0,R. Dowdle RB - CAR,16.7,A. Ekeler RB - WAS,14.3,T. Dell WR - HOU,12.6,B. Bowers TE - LV,10.5,K. Coleman WR - BUF,4.1,K. Allen WR - LAC,3.6,N. Collins WR - HOU,0.0,125.2,Juschka,99.5
Juschka,3,D. Prescott QB - DAL,12.32,D. Swift RB - CHI,8.2,D. Achane RB - MIA,24.1,D. London WR - ATL,8.7,J. Jefferson WR - MIN,14.58,C. Otton TE - TB,13.7,J. Conner RB - ARI,11.9,Y. Koo K - NYG,3.0,Bills DEF,3.0,G. Wilson WR - NYJ,21.0,T. Etienne RB - JAX,3.0,M. Pittman WR - IND,1.4,B. Robinson RB - SF,0.0,B. Purdy QB - SF,0.0,Steelers DEF,0.0,,,99.5,I_hate_Kowa,125.2
