Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,8,L. Jackson QB - BAL,11.48,R. Mostert RB - LV,14.5,A. Kamara RB - NO,7.0,T. Hill WR - MIA,4.5,D. Adams WR - LAR,3.4,T. Kelce TE - KC,1.4,K. Walker RB - SEA,1.7,J. Elliott K - PHI,4.0,Cowboys DEF,2.0,D. Johnson WR,15.0,J. Ford RB - CLE,7.7,P. Nacua WR - LAR,3.2,Z. Moss RB,2.6,C. Godwin WR - TB,1.6,D. Pierce RB - HOU,0.0,,,49.98,Juschka,102.94
Juschka,4,J. Burrow QB - CIN,22.32,B. Hall RB - NYJ,6.0,B. Robinson RB - SF,10.7,S. Diggs WR - NE,16.6,C. Olave WR - NO,10.6,T. Hill TE - NO,16.62,D. Smith WR - PHI,11.1,J. Sanders K - MIA,2.0,Steelers DEF,7.0,K. Gainwell RB - PIT,8.3,J. Downs WR - IND,1.0,S. LaPorta TE - DET,0.0,K. Herbert RB - NYJ,0.0,D. London WR - ATL,0.0,J. Gibbs RB - DET,0.0,,,102.94,Benni,49.98
Kessi,5,J. Hurts QB - PHI,25.88,J. Taylor RB - IND,12.9,B. Robinson RB - ATL,3.9,J. Waddle WR - MIA,5.4,T. McLaurin WR - WAS,7.3,J. Ferguson TE - DAL,15.1,D. Hopkins WR - BAL,6.5,D. Carlson K - LV,14.7,Dolphins DEF,5.0,G. Wilson WR - NYJ,6.0,Z. Charbonnet RB - SEA,1.3,B. Cooks WR - NO,0.7,J. Conner RB - ARI,0.0,G. Kittle TE - SF,0.0,G. Davis WR - BUF,0.0,J. Palmer WR - BUF,0.0,96.68,Erik,107.34
Erik,3,J. Herbert QB - LAC,7.14,J. Mixon RB - HOU,12.8,R. White RB - TB,23.9,C. Kupp WR - SEA,4.8,C. Lamb WR - DAL,17.1,D. Kincaid TE - BUF,6.1,J. Addison WR - MIN,5.2,J. Tucker K,15.3,Ravens DEF,15.0,T. McBride TE - ARI,2.2,R. Johnson RB - CHI,1.5,L. Fournette RB,0.0,C. McCaffrey RB - SF,0.0,C. Ridley WR - TEN,0.0,B. Aiyuk WR - SF,0.0,,,107.34,Kessi,96.68
Simi,1,D. Prescott QB - DAL,28.36,A. Ekeler RB - WAS,19.0,N. Harris RB - LAC,13.6,A. Brown WR - PHI,12.6,A. Cooper WR,19.9,T. Hockenson TE - MIN,6.9,A. Jones RB - MIN,13.9,T. Bass K - BUF,4.4,Saints DEF,13.0,A. Mattison RB - MIA,15.3,M. Pittman WR - IND,6.4,D. Moore WR - CHI,2.4,C. Kirk WR - HOU,0.0,D. Montgomery RB - DET,0.0,T. Lawrence QB - JAX,0.0,D. Achane RB - MIA,0.0,131.66,Tommy,76.82
Tommy,6,J. Allen QB - BUF,24.72,D. Swift RB - CHI,7.4,S. Barkley RB - PHI,11.3,J. Chase WR - CIN,4.1,K. Allen WR - LAC,7.7,D. Goedert TE - PHI,5.0,Z. Flowers WR - BAL,1.1,D. Hopkins K,10.5,Vikings DEF,5.0,N. Collins WR - HOU,11.4,D. Foreman RB,8.3,M. Sanders RB - DAL,6.1,K. Pitts TE - ATL,5.6,T. Etienne RB - JAX,0.0,A. St. Brown WR - DET,0.0,,,76.82,Simi,131.66
Ritz,2,P. Mahomes QB - KC,15.8,J. Jacobs RB - GB,21.8,D. Henry RB - BAL,16.2,A. Thielen WR - MIN,2.9,M. Evans WR - TB,8.7,D. Njoku TE - CLE,8.6,K. Hunt RB - KC,9.8,Y. Koo K - NYG,19.9,Browns DEF,23.0,T. Tagovailoa QB - MIA,12.42,T. Higgins WR - CIN,11.0,D. Metcalf WR - PIT,5.0,J. Cook RB - BUF,3.9,H. Brown WR - KC,2.4,K. Williams RB - LAR,0.0,49ers DEF,0.0,126.7,Marv,58.74
Marv,7,D. Carr QB,16.74,G. Edwards RB,17.2,I. Pacheco RB - KC,6.6,G. Pickens WR - DAL,-0.1,M. Thomas WR,0.0,M. Andrews TE - BAL,8.0,T. Pollard RB - TEN,6.3,H. Butker K - KC,3.0,Bills DEF,1.0,R. Stevenson RB - NE,18.9,K. Osborn WR,1.7,J. Williams RB,1.2,D. Samuel WR - WAS,0.0,J. Jefferson WR - MIN,0.0,J. Williams RB - DAL,0.0,J. Fields QB - NYJ,0.0,58.74,Ritz,126.7
