Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,L. Jackson QB - BAL,14.98,J. Jacobs RB - GB,18.5,A. Kamara RB - NO,11.9,T. Hill WR - MIA,16.4,P. Nacua WR - LAR,2.7,T. Kelce TE - KC,9.1,D. Adams WR - LAR,7.3,B. Aubrey K - DAL,9.2,Cowboys DEF,16.0,C. Stroud QB - HOU,30.86,D. Singletary RB - NYG,7.2,D. Johnson WR,5.0,D. Metcalf WR - PIT,3.2,Chiefs DEF,2.0,K. Walker RB - SEA,0.0,,,106.08,Marv,99.38
Marv,6,J. Fields QB - NYJ,10.58,I. Pacheco RB - KC,20.9,R. Stevenson RB - NE,16.7,B. Aiyuk WR - SF,11.0,T. Dell WR - HOU,12.2,T. Hill TE - NO,6.1,G. Edwards RB,3.7,H. Butker K - KC,7.2,Vikings DEF,11.0,D. Samuel WR - WAS,15.4,K. Mitchell RB - BAL,8.9,T. Tagovailoa QB - MIA,7.82,J. Williams RB - DAL,7.1,G. Pickens WR - DAL,5.8,Bills DEF,2.0,,,99.38,Benni,106.08
Kessi,4,J. Hurts QB - PHI,34.5,J. Taylor RB - IND,21.1,B. Robinson RB - ATL,24.3,J. Waddle WR - MIA,11.4,D. Hopkins WR - BAL,4.9,G. Kittle TE - SF,1.9,J. Conner RB - ARI,3.2,D. Carlson K - LV,5.4,Bears DEF,14.0,G. Davis WR - BUF,16.5,B. Cooks WR - NO,13.2,G. Wilson WR - NYJ,10.4,Z. Charbonnet RB - SEA,5.8,T. McLaurin WR - WAS,5.0,J. Warren RB - PIT,4.2,,,120.7,Tommy,92.76
Tommy,7,J. Allen QB - BUF,39.66,T. Etienne RB - JAX,8.6,S. Barkley RB - PHI,5.2,J. Chase WR - CIN,8.1,K. Allen WR - LAC,8.6,J. Ferguson TE - DAL,3.5,A. St. Brown WR - DET,9.5,D. Hopkins K,6.6,Browns DEF,3.0,Z. Flowers WR - BAL,18.2,C. Ridley WR - TEN,16.9,Jets DEF,13.0,B. Purdy QB - SF,10.46,J. Cook RB - BUF,10.0,D. Swift RB - CHI,8.4,,,92.76,Kessi,120.7
Simi,2,D. Prescott QB - DAL,32.24,A. Ekeler RB - WAS,4.4,D. Montgomery RB - DET,15.1,A. Brown WR - PHI,9.7,D. Moore WR - CHI,11.4,T. Hockenson TE - MIN,11.0,N. Harris RB - LAC,15.9,J. Myers K - SEA,9.1,Broncos DEF,16.0,T. Lawrence QB - JAX,24.56,M. Pittman WR - IND,10.7,A. Mattison RB - MIA,6.3,A. Cooper WR,1.6,A. Jones RB - MIN,0.0,D. Achane RB - MIA,0.0,,,124.84,Erik,124.54
Erik,3,K. Murray QB - ARI,20.44,T. Pollard RB - TEN,16.3,C. McCaffrey RB - SF,25.9,C. Kupp WR - SEA,1.8,C. Lamb WR - DAL,13.3,D. Kincaid TE - BUF,3.8,R. White RB - TB,11.0,J. Tucker K,11.0,Dolphins DEF,21.0,J. Herbert QB - LAC,13.38,C. Sutton WR - DEN,6.1,J. Mixon RB - HOU,6.0,T. McBride TE - ARI,6.0,J. Addison WR - MIN,3.9,Eagles DEF,2.0,J. Jefferson WR - MIN,0.0,124.54,Simi,124.84
Ritz,1,P. Mahomes QB - KC,20.82,R. Mostert RB - LV,21.4,D. Henry RB - BAL,19.6,C. Kirk WR - HOU,8.9,M. Evans WR - TB,19.0,D. Njoku TE - CLE,5.9,K. Williams RB - LAR,32.4,J. Elliott K - PHI,9.9,49ers DEF,14.0,N. Collins WR - HOU,16.4,J. Ford RB - CLE,7.9,K. Hunt RB - KC,2.2,A. Thielen WR - MIN,0.2,D. Foreman RB,0.0,T. Higgins WR - CIN,0.0,,,151.92,Juschka,86.4
Juschka,8,S. Howell QB - PHI,17.3,J. Gibbs RB - DET,7.3,B. Robinson RB - SF,6.4,S. Diggs WR - NE,13.4,C. Olave WR - NO,11.4,S. LaPorta TE - DET,12.7,B. Hall RB - NYJ,4.9,M. Ammendola K,3.0,Steelers DEF,10.0,D. Smith WR - PHI,16.6,M. Gay K - WAS,11.2,J. Reed WR - GB,11.0,J. Downs WR - IND,4.3,K. Herbert RB - NYJ,3.8,T. Lockett WR - TEN,3.0,,,86.4,Ritz,151.92
