Season	TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
2018	Ritz	1	13-1-0	1675.46	1425.76		LosSausages			6
2018	Benni	2	10-4-0	1709.76	1416.24		ShamH			1
2018	Juschka	3	9-5-0	1591.48	1486.98		Juschka			7
2018	Tommy	4	8-6-0	1532.66	1455.6		theBIGLebronski			8
2018	Marv	5	7-7-0	1305.08	1461.34		lancemourdock			2
2018	Erik	6	5-9-0	1551.1	1589.32		Jottage			4
2018	Simi	7	4-10-0	1333.46	1514.84		Simon2307			3
2018	Kessi	8	0-14-0	1209.1	1558.02		kesso			5
