Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dreggsverein,2,J. Hurts QB - PHI,18.74,J. Gibbs RB - DET,18.3,B. Robinson RB - ATL,6.3,C. Ridley WR - TEN,5.8,T. Higgins WR - CIN,20.8,D. Njoku TE - CLE,10.1,J. Jennings WR - SF,15.1,J. Moody K - CHI,5.3,Texans DEF,19.0,J. Williams WR - DET,18.6,J. Daniels QB - WAS,13.44,B. Thomas WR - JAX,8.6,D. Mooney WR - ATL,2.7,M. Nabers WR - NYG,0.0,T. Tracy RB - NYG,0.0,,,119.44,oG United,136.68
oG United,1,J. Goff QB - DET,34.58,C. Brown RB - CIN,14.3,C. McCaffrey RB - SF,10.6,G. Pickens WR - DAL,8.9,P. Nacua WR - LAR,18.3,T. Hockenson TE - MIN,1.3,J. Mixon RB - HOU,33.3,J. Bates K - DET,12.4,Jets DEF,3.0,J. Downs WR - IND,14.4,A. Cooper WR,5.5,M. Harrison WR - ARI,0.0,B. Mayfield QB - TB,0.0,K. Murray QB - ARI,0.0,T. McBride TE - ARI,0.0,,,136.68,Dreggsverein,119.44
Snatchville Lubricators,4,P. Mahomes QB - KC,15.84,D. Montgomery RB - DET,21.5,J. Taylor RB - IND,6.0,J. Chase WR - CIN,19.5,C. Kupp WR - SEA,22.6,J. Ferguson TE - DAL,1.1,N. Harris RB - LAC,9.3,B. Aubrey K - DAL,6.3,Eagles DEF,6.0,M. Valdes-Scantling WR - SF,14.7,C. Sutton WR - DEN,7.8,J. Waddle WR - MIA,3.7,T. Pollard RB - TEN,2.9,T. Benson RB - ARI,0.0,G. Kittle TE - SF,0.0,C. Olave WR - NO,0.0,108.14,Juschka,86.56
Juschka,8,B. Purdy QB - SF,18.36,D. Swift RB - CHI,14.4,D. Achane RB - MIA,16.5,G. Wilson WR - NYJ,1.8,J. Jefferson WR - MIN,8.1,D. Goedert TE - PHI,6.1,D. London WR - ATL,6.1,Y. Koo K - NYG,9.2,Bills DEF,6.0,B. Robinson RB - SF,13.2,M. Pittman WR - IND,4.6,T. Etienne RB - JAX,3.3,A. Estime RB - PHI,2.5,J. Conner RB - ARI,0.0,C. Otton TE - TB,0.0,,,86.56,Snatchville Lubricators,108.14
Talahon United,3,J. Herbert QB - LAC,24.38,D. Henry RB - BAL,10.5,J. Jacobs RB - GB,19.4,C. Lamb WR - DAL,10.6,D. Samuel WR - WAS,2.1,T. Kraft TE - GB,0.0,R. Stevenson RB - NE,8.9,C. Boswell K - PIT,25.3,Vikings DEF,11.0,C. Stroud QB - HOU,10.88,J. Reed WR - GB,7.8,D. Moore WR - CHI,6.7,D. Hopkins WR - BAL,2.9,M. Evans WR - TB,0.0,C. Hubbard RB - CAR,0.0,,,112.18,Suckme Mourdock Network,103.68
Suckme Mourdock Network,6,J. Allen QB - BUF,23.98,J. Cook RB - BUF,14.7,B. Hall RB - NYJ,24.1,D. Adams WR - LAR,7.2,A. Brown WR - PHI,6.5,K. Pitts TE - ATL,0.9,K. Hunt RB - KC,6.0,K. Fairbairn K - HOU,10.3,Lions DEF,10.0,J. Dobbins RB - DEN,17.9,Z. Flowers WR - BAL,9.9,N. Chubb RB - HOU,5.0,C. Kmet TE - CHI,4.2,T. McLaurin WR - WAS,1.0,R. White RB - TB,0.0,,,103.68,Talahon United,112.18
Extrem durstige Welse,7,J. Burrow QB - CIN,29.04,K. Walker RB - SEA,11.9,K. Williams RB - LAR,8.6,D. Metcalf WR - PIT,7.0,T. Hill WR - MIA,12.1,M. Andrews TE - BAL,2.2,L. McConkey WR - LAC,12.3,J. Tucker K,6.4,49ers DEF,7.0,T. Tagovailoa QB - MIA,23.52,J. Addison WR - MIN,12.1,K. Shakir WR - BUF,7.0,S. LaPorta TE - DET,0.0,J. Brooks RB - CAR,0.0,B. Irving RB - TB,0.0,I. Pacheco RB - KC,0.0,96.54,I_hate_Kowa,107.08
I_hate_Kowa,5,L. Jackson QB - BAL,14.88,S. Barkley RB - PHI,31.8,A. Kamara RB - NO,8.9,A. St. Brown WR - DET,27.7,N. Collins WR - HOU,5.4,T. Kelce TE - KC,0.8,A. Jones RB - MIN,4.3,T. Bass K - BUF,6.3,Rams DEF,7.0,B. Bowers TE - LV,18.3,A. Ekeler RB - WAS,9.6,T. Dell WR - HOU,5.8,K. Allen WR - LAC,4.1,R. Dowdle RB - CAR,3.4,D. Smith WR - PHI,2.9,,,107.08,Extrem durstige Welse,96.54
