Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dreggsverein,4,J. Daniels QB - WAS,20.96,B. Robinson RB - ATL,22.5,J. Gibbs RB - DET,9.1,B. Aiyuk WR - SF,3.7,T. Higgins WR - CIN,7.7,T. Kraft TE - GB,1.5,T. Tracy RB - NYG,16.7,C. McLaughlin K - TB,9.0,Texans DEF,12.0,J. Hurts QB - PHI,21.86,J. Williams WR - DET,14.7,D. Johnson WR,13.8,S. LaPorta TE - DET,11.2,B. Thomas WR - JAX,2.7,M. Nabers WR - NYG,0.0,,,103.16,Talahon United,89.18
Talahon United,6,C. Stroud QB - HOU,18.38,D. Henry RB - BAL,25.2,J. Jacobs RB - GB,9.0,C. Lamb WR - DAL,9.1,M. Evans WR - TB,3.4,D. Kincaid TE - BUF,5.1,C. Hubbard RB - CAR,10.3,E. McPherson K - CIN,5.7,Ravens DEF,3.0,D. Samuel WR - WAS,17.7,J. Reed WR - GB,8.8,D. Hopkins WR - BAL,5.4,D. Moore WR - CHI,2.0,R. Stevenson RB - NE,0.0,Vikings DEF,0.0,,,89.18,Dreggsverein,103.16
Snatchville Lubricators,1,J. Love QB - GB,25.62,D. Montgomery RB - DET,20.0,N. Harris RB - LAC,18.2,J. Chase WR - CIN,7.2,C. Olave WR - NO,-1.5,G. Kittle TE - SF,17.8,T. Pollard RB - TEN,14.8,B. Aubrey K - DAL,13.1,Browns DEF,8.0,C. Ridley WR - TEN,0.9,J. Hill RB - BAL,0.4,C. Kupp WR - SEA,0.0,P. Mahomes QB - KC,0.0,J. Taylor RB - IND,0.0,Z. Moss RB,-0.5,,,123.22,I_hate_Kowa,79.42
I_hate_Kowa,8,L. Jackson QB - BAL,18.92,S. Barkley RB - PHI,5.4,A. Kamara RB - NO,12.4,A. St. Brown WR - DET,9.7,D. Smith WR - PHI,12.4,B. Bowers TE - LV,7.1,R. Dowdle RB - CAR,5.5,C. Santos K - CHI,5.0,Broncos DEF,3.0,K. Allen WR - LAC,16.1,T. Dell WR - HOU,11.7,A. Ekeler RB - WAS,6.8,Z. Charbonnet RB - SEA,3.5,T. Kelce TE - KC,0.0,A. Jones RB - MIN,0.0,N. Collins WR - HOU,0.0,79.42,Snatchville Lubricators,123.22
Extrem durstige Welse,5,J. Burrow QB - CIN,19.82,K. Walker RB - SEA,12.9,T. Bigsby RB - PHI,2.4,D. Metcalf WR - PIT,4.8,S. Diggs WR - NE,13.7,M. Andrews TE - BAL,12.6,D. Mooney WR - ATL,3.8,J. Tucker K,14.6,49ers DEF,7.0,B. Irving RB - TB,16.5,J. Brooks RB - CAR,0.0,X. Worthy WR - KC,0.0,R. Mostert RB - LV,0.0,T. Hill WR - MIA,0.0,K. Williams RB - LAR,0.0,I. Pacheco RB - KC,0.0,91.62,Juschka,80.02
Juschka,7,D. Prescott QB - DAL,3.22,T. Etienne RB - JAX,-0.1,D. Swift RB - CHI,17.9,D. London WR - ATL,13.4,G. Wilson WR - NYJ,16.7,I. Likely TE - BAL,2.7,J. Conner RB - ARI,2.6,Y. Koo K - NYG,12.6,Steelers DEF,11.0,M. Pittman WR - IND,9.5,C. Kirk WR - HOU,3.9,J. Jennings WR - SF,2.7,J. Jefferson WR - MIN,0.0,B. Robinson RB - SF,0.0,D. Achane RB - MIA,0.0,,,80.02,Extrem durstige Welse,91.62
oG United,3,K. Murray QB - ARI,11.96,J. Mason RB - MIN,8.2,J. Mixon RB - HOU,25.2,C. Godwin WR - TB,24.5,M. Harrison WR - ARI,0.0,T. McBride TE - ARI,9.6,A. Cooper WR,4.2,C. Boswell K - PIT,19.4,Eagles DEF,6.0,G. Pickens WR - DAL,5.3,J. Ford RB - CLE,1.4,D. Wicks WR - GB,0.9,B. Allen RB - NYJ,0.8,C. McCaffrey RB - SF,0.0,H. Butker K - KC,0.0,D. Singletary RB - NYG,0.0,109.06,Suckme Mourdock Network,122.5
Suckme Mourdock Network,2,J. Allen QB - BUF,24.4,B. Hall RB - NYJ,16.9,T. Johnson RB - BUF,3.4,A. Brown WR - PHI,17.6,Z. Flowers WR - BAL,13.4,K. Pitts TE - ATL,7.0,T. McLaurin WR - WAS,17.3,K. Fairbairn K - HOU,13.5,Bears DEF,9.0,J. Dobbins RB - DEN,16.2,Q. Johnston WR - LAC,2.2,D. Adams WR - LAR,0.0,K. Hunt RB - KC,0.0,N. Chubb RB - HOU,0.0,R. White RB - TB,0.0,J. Cook RB - BUF,0.0,122.5,oG United,109.06
