Season	TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
2017	Simi	1	11-3-0	1489.68	1354.76		Simon2307			3
2017	Ritz	2	9-5-0	1271.44	1201.64		LosSausages			6
2017	Erik	3	7-7-0	1459.98	1371.47		Jottage			2
2017	Benni	4	7-7-0	1333.5	1388.53		ShamH			1
2017	Marv	5	6-8-0	1271.3	1263.68		lancemourdock			4
2017	Kessi	6	6-8-0	1190.3	1317.15		kesso			5
2017	Tommy	7	5-9-0	1306.76	1280.82		theBIGLebronski			8
2017	Juschka	8	5-9-0	1195.06	1339.97		Juschka			7
