TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Marv	3	lancemourdock	1	82.94	112.56
Erik	4	Jottage	2	65.5	110.92
Ritz	1	LosSausages	3	81.28	103.18
Benni	7	ShamH	5	75.42	138.76
Kessi	2	kesso	4	85.66	95.66
Juschka	5	Juschka	6	115.02	105.2
Tommy	8	theBIGLebronski	7	105.74	100.28
Simi	6	Simon2307	8	105.26	65.78
