Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,J. Hurts QB - PHI,16.42,B. Robinson RB - ATL,11.1,J. Gibbs RB - DET,13.4,B. Aiyuk WR - SF,2.8,J. Waddle WR - MIA,11.2,S. LaPorta TE - DET,4.5,D. Singletary RB - NYG,5.2,J. Elliott K - PHI,10.8,Bears DEF,22.0,J. Love QB - GB,16.4,M. Nabers WR - NYG,6.6,T. Dell WR - HOU,5.9,T. Spears RB - TEN,3.2,J. Williams RB - DAL,2.3,Jets DEF,2.0,T. Higgins WR - CIN,0.0,97.42,Kessi,93.84
Kessi,6,P. Mahomes QB - KC,14.14,D. Montgomery RB - DET,15.3,J. Taylor RB - IND,10.8,J. Chase WR - CIN,6.2,C. Olave WR - NO,1.1,G. Kittle TE - SF,4.0,C. Kupp WR - SEA,18.0,B. Aubrey K - DAL,22.3,Browns DEF,2.0,T. Pollard RB - TEN,15.4,Z. Moss RB,12.1,N. Harris RB - LAC,7.9,C. Ridley WR - TEN,5.0,B. Corum RB - LAR,0.0,H. Brown WR - KC,0.0,,,93.84,Benni,97.42
Simi,7,C. Stroud QB - HOU,18.66,D. Henry RB - BAL,10.6,J. Jacobs RB - GB,10.4,C. Lamb WR - DAL,8.6,M. Evans WR - TB,18.1,D. Kincaid TE - BUF,1.1,D. Samuel WR - WAS,13.7,E. McPherson K - CIN,6.1,Ravens DEF,4.0,J. Reed WR - GB,29.1,R. Stevenson RB - NE,18.6,E. Elliott RB,10.9,D. Moore WR - CHI,5.0,Z. White RB - LV,2.6,D. Hopkins WR - BAL,0.8,,,91.26,Tommy,117.92
Tommy,2,L. Jackson QB - BAL,25.12,S. Barkley RB - PHI,31.2,A. Jones RB - MIN,16.9,A. St. Brown WR - DET,1.3,N. Collins WR - HOU,11.7,T. Kelce TE - KC,3.4,A. Kamara RB - NO,17.0,H. Butker K - KC,9.3,Bengals DEF,2.0,D. Smith WR - PHI,8.4,A. Ekeler RB - WAS,6.2,B. Bowers TE - LV,5.8,K. Allen WR - LAC,2.9,J. Warren RB - PIT,2.0,J. Palmer WR - BUF,1.5,,,117.92,Simi,91.26
Ritz,3,J. Burrow QB - CIN,8.06,K. Walker RB - SEA,16.9,I. Pacheco RB - KC,13.8,T. Hill WR - MIA,19.0,S. Diggs WR - NE,15.9,M. Andrews TE - BAL,1.4,K. Williams RB - LAR,11.4,J. Tucker K,8.2,49ers DEF,6.0,X. Worthy WR - KC,18.8,J. Herbert QB - LAC,10.36,R. Rice WR - KC,10.3,J. Addison WR - MIN,3.5,D. Metcalf WR - PIT,2.9,C. Hubbard RB - CAR,1.4,J. Brooks RB - CAR,0.0,100.66,Marv,128.98
Marv,1,J. Allen QB - BUF,31.18,B. Hall RB - NYJ,13.3,R. White RB - TB,10.6,A. Brown WR - PHI,17.9,D. Adams WR - LAR,5.9,K. Pitts TE - ATL,8.6,J. Cook RB - BUF,10.3,K. Fairbairn K - HOU,17.2,Saints DEF,14.0,A. Richardson QB - IND,26.08,Z. Flowers WR - BAL,5.1,C. Sutton WR - DEN,3.8,R. Dowdle RB - CAR,3.2,T. McLaurin WR - WAS,1.7,N. Chubb RB - HOU,0.0,,,128.98,Ritz,100.66
Erik,5,K. Murray QB - ARI,14.18,J. Mason RB - MIN,21.2,J. Mixon RB - HOU,23.8,A. Cooper WR,1.6,M. Harrison WR - ARI,0.4,T. McBride TE - ARI,3.0,P. Nacua WR - LAR,4.2,J. Sanders K - MIA,10.9,Cowboys DEF,17.0,C. Godwin WR - TB,14.3,J. Ford RB - CLE,12.9,G. Pickens WR - DAL,7.5,G. Edwards RB,2.8,C. Brown RB - CIN,2.3,R. Mostert RB - LV,1.9,C. McCaffrey RB - SF,0.0,96.28,Juschka,74.56
Juschka,8,D. Prescott QB - DAL,11.46,T. Etienne RB - JAX,9.9,J. Conner RB - ARI,16.3,J. Jefferson WR - MIN,11.9,G. Wilson WR - NYJ,6.0,J. Ferguson TE - DAL,1.5,D. London WR - ATL,1.5,Y. Koo K - NYG,4.0,Steelers DEF,12.0,T. Tagovailoa QB - MIA,18.62,D. Achane RB - MIA,16.0,B. Robinson RB - SF,14.9,D. Swift RB - CHI,5.0,M. Pittman WR - IND,3.1,C. Kirk WR - HOU,3.0,,,74.56,Erik,96.28
