Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,J. Hurts QB - PHI,15.06,J. Gibbs RB - DET,21.9,T. Tracy RB - NYG,5.0,M. Nabers WR - NYG,6.4,C. Ridley WR - TEN,9.3,D. Njoku TE - CLE,2.9,J. Williams WR - DET,6.8,A. Seibert K,9.2,Steelers DEF,7.0,J. Daniels QB - WAS,30.4,Texans DEF,19.0,J. Jennings WR - SF,4.0,T. Higgins WR - CIN,0.0,D. Mooney WR - ATL,0.0,B. Robinson RB - ATL,0.0,,,83.56,Juschka,69.46
Juschka,8,G. Smith QB - LV,12.36,D. Swift RB - CHI,6.5,D. Achane RB - MIA,17.6,N. Westbrook-Ikhine WR - MIA,10.8,J. Jefferson WR - MIN,2.7,C. Otton TE - TB,3.0,B. Robinson RB - SF,2.4,J. Sanders K - MIA,12.1,Commanders DEF,2.0,M. Pittman WR - IND,9.6,J. Conner RB - ARI,4.9,T. Etienne RB - JAX,0.0,D. London WR - ATL,0.0,G. Wilson WR - NYJ,0.0,B. Purdy QB - SF,0.0,,,69.46,Benni,83.56
Kessi,2,P. Mahomes QB - KC,28.76,D. Montgomery RB - DET,13.3,J. Taylor RB - IND,3.5,C. Sutton WR - DEN,21.7,C. Kupp WR - SEA,12.0,G. Kittle TE - SF,14.2,T. Pollard RB - TEN,18.9,B. Aubrey K - DAL,13.4,Eagles DEF,8.0,J. Waddle WR - MIA,20.4,Z. Ertz TE - WAS,9.8,N. Harris RB - LAC,5.4,T. Benson RB - ARI,1.8,M. Valdes-Scantling WR - SF,0.0,J. Chase WR - CIN,0.0,C. Olave WR - NO,0.0,133.76,Erik,72.7
Erik,7,K. Murray QB - ARI,10.3,J. Mixon RB - HOU,4.5,C. McCaffrey RB - SF,4.8,G. Pickens WR - DAL,4.8,P. Nacua WR - LAR,11.7,T. McBride TE - ARI,13.3,M. Harrison WR - ARI,4.7,J. Bates K - DET,8.6,Broncos DEF,10.0,B. Mayfield QB - TB,18.66,J. Goff QB - DET,10.76,J. Downs WR - IND,2.7,Chiefs DEF,2.0,A. Cooper WR,0.0,C. Brown RB - CIN,0.0,,,72.7,Kessi,133.76
Simi,3,J. Herbert QB - LAC,17.62,D. Henry RB - BAL,14.0,C. Hubbard RB - CAR,14.0,C. Lamb WR - DAL,6.8,M. Evans WR - TB,6.8,J. Smith TE - PIT,14.7,J. Jacobs RB - GB,28.6,C. Boswell K - PIT,8.8,Vikings DEF,5.0,D. Moore WR - CHI,19.9,D. Hopkins WR - BAL,9.5,R. Stevenson RB - NE,3.3,J. Reed WR - GB,2.6,D. Samuel WR - WAS,2.1,T. Hill TE - NO,0.0,,,116.32,Ritz,81.38
Ritz,6,T. Tagovailoa QB - MIA,28.48,K. Walker RB - SEA,9.3,K. Williams RB - LAR,11.2,D. Metcalf WR - PIT,5.9,T. Hill WR - MIA,4.8,S. LaPorta TE - DET,1.9,L. McConkey WR - LAC,8.3,J. Tucker K,7.5,Bears DEF,4.0,J. Addison WR - MIN,22.2,B. Irving RB - TB,21.2,M. Andrews TE - BAL,10.6,J. Brooks RB - CAR,0.7,J. Burrow QB - CIN,0.0,I. Pacheco RB - KC,0.0,49ers DEF,-2.0,81.38,Simi,116.32
Tommy,1,L. Jackson QB - BAL,22.58,S. Barkley RB - PHI,42.2,A. Jones RB - MIN,16.9,A. St. Brown WR - DET,6.2,N. Collins WR - HOU,15.2,T. Kelce TE - KC,6.2,A. Ekeler RB - WAS,2.4,C. Dicker K - LAC,16.6,Buccaneers DEF,10.0,K. Allen WR - LAC,14.6,R. Dowdle RB - CAR,7.8,T. Dell WR - HOU,7.2,B. Bowers TE - LV,3.8,A. Kamara RB - NO,0.0,D. Smith WR - PHI,0.0,,,138.28,Marv,105.72
Marv,4,B. Nix QB - DEN,19.42,K. Hunt RB - KC,8.7,N. Chubb RB - HOU,18.0,Z. Flowers WR - BAL,6.2,A. Brown WR - PHI,16.9,D. Goedert TE - PHI,1.9,T. McLaurin WR - WAS,16.2,K. Fairbairn K - HOU,11.4,Lions DEF,7.0,R. White RB - TB,10.7,J. Dobbins RB - DEN,5.9,D. Adams WR - LAR,0.0,J. Allen QB - BUF,0.0,J. Cook RB - BUF,0.0,B. Hall RB - NYJ,0.0,,,105.72,Tommy,138.28
