Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dreggsverein,8,J. Hurts QB - PHI,23.82,B. Robinson RB - ATL,12.2,J. Gibbs RB - DET,10.6,B. Aiyuk WR - SF,4.3,J. Waddle WR - MIA,4.5,S. LaPorta TE - DET,1.3,D. Singletary RB - NYG,13.5,J. Elliott K - PHI,7.0,Jets DEF,9.0,M. Nabers WR - NYG,18.7,J. Daniels QB - WAS,13.44,J. Williams WR - DET,9.4,J. Williams RB - DAL,6.5,T. Dell WR - HOU,1.3,T. Higgins WR - CIN,0.0,,,86.22,Suckme Mourdock Network,125.46
Suckme Mourdock Network,2,J. Allen QB - BUF,9.76,B. Hall RB - NYJ,17.4,J. Cook RB - BUF,27.5,T. McLaurin WR - WAS,2.2,D. Adams WR - LAR,17.0,K. Pitts TE - ATL,2.0,J. Dobbins RB - DEN,19.1,K. Fairbairn K - HOU,22.5,Saints DEF,8.0,Z. Flowers WR - BAL,15.1,A. Richardson QB - IND,9.86,R. White RB - TB,2.3,J. Wilson RB - MIA,1.2,N. Chubb RB - HOU,0.0,A. Brown WR - PHI,0.0,,,125.46,Dreggsverein,86.22
Snatchville Lubricators,6,P. Mahomes QB - KC,12.94,D. Montgomery RB - DET,13.0,J. Taylor RB - IND,13.5,C. Kupp WR - SEA,3.7,C. Olave WR - NO,8.8,G. Kittle TE - SF,13.6,J. Chase WR - CIN,3.5,B. Aubrey K - DAL,18.8,Browns DEF,10.0,C. Ridley WR - TEN,20.7,T. Pollard RB - TEN,10.2,N. Harris RB - LAC,7.4,Z. Moss RB,4.7,B. Corum RB - LAR,2.8,H. Brown WR - KC,0.0,,,97.84,Extrem durstige Welse,93.02
Extrem durstige Welse,7,J. Burrow QB - CIN,17.22,K. Williams RB - LAR,11.2,I. Pacheco RB - KC,11.1,T. Hill WR - MIA,3.6,S. Diggs WR - NE,3.7,M. Andrews TE - BAL,5.1,D. Metcalf WR - PIT,18.9,J. Tucker K,14.2,49ers DEF,8.0,R. Rice WR - KC,13.5,J. Herbert QB - LAC,11.0,C. Hubbard RB - CAR,7.6,X. Worthy WR - KC,2.2,J. Brooks RB - CAR,0.0,K. Walker RB - SEA,0.0,J. Addison WR - MIN,0.0,93.02,Snatchville Lubricators,97.84
Talahon United,5,C. Stroud QB - HOU,14.3,D. Henry RB - BAL,15.6,J. Jacobs RB - GB,13.1,C. Lamb WR - DAL,15.0,M. Evans WR - TB,4.2,D. Kincaid TE - BUF,3.3,D. Samuel WR - WAS,10.0,E. McPherson K - CIN,17.4,Ravens DEF,7.0,R. Stevenson RB - NE,15.0,D. Moore WR - CHI,5.3,J. Reed WR - GB,4.6,Z. White RB - LV,3.8,E. Elliott RB,3.2,D. Hopkins WR - BAL,0.9,,,99.9,oG United,115.14
oG United,3,K. Murray QB - ARI,28.54,J. Mason RB - MIN,16.4,J. Ford RB - CLE,6.4,C. Godwin WR - TB,17.7,M. Harrison WR - ARI,25.0,T. McBride TE - ARI,12.7,J. Mixon RB - HOU,5.0,J. Sanders K - MIA,4.4,Cowboys DEF,-1.0,C. Brown RB - CIN,3.1,G. Pickens WR - DAL,2.9,A. Cooper WR,1.1,A. Lazard WR - NYJ,1.1,R. Mostert RB - LV,0.0,C. McCaffrey RB - SF,0.0,P. Nacua WR - LAR,0.0,115.14,Talahon United,99.9
I_hate_Kowa,1,L. Jackson QB - BAL,16.38,S. Barkley RB - PHI,13.6,A. Jones RB - MIN,4.8,A. St. Brown WR - DET,11.9,N. Collins WR - HOU,19.5,T. Kelce TE - KC,0.6,A. Kamara RB - NO,42.0,H. Butker K - KC,10.1,Chargers DEF,11.0,D. Smith WR - PHI,13.6,Z. Charbonnet RB - SEA,12.9,B. Bowers TE - LV,9.8,A. Ekeler RB - WAS,8.5,J. Warren RB - PIT,6.1,K. Allen WR - LAC,0.0,,,129.88,Juschka,108.72
Juschka,4,D. Prescott QB - DAL,12.92,B. Robinson RB - SF,13.6,J. Conner RB - ARI,18.4,J. Jefferson WR - MIN,19.3,G. Wilson WR - NYJ,6.2,I. Likely TE - BAL,2.6,D. London WR - ATL,11.4,Y. Koo K - NYG,11.3,Steelers DEF,13.0,D. Achane RB - MIA,22.5,T. Etienne RB - JAX,11.8,T. Tagovailoa QB - MIA,5.5,D. Swift RB - CHI,4.2,M. Pittman WR - IND,2.1,C. Kirk WR - HOU,-0.1,,,108.72,I_hate_Kowa,129.88
