Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Weizen Express,1,P. Mahomes QB - KC,31.14,D. Foreman RB,19.0,S. Barkley RB - PHI,22.0,C. Kupp WR - SEA,-0.1,G. Davis WR - BUF,15.3,T. Kelce TE - KC,14.1,D. Pierce RB - HOU,10.2,T. Bass K - BUF,13.9,Cowboys DEF,5.0,J. Fields QB - NYJ,39.38,J. Conner RB - ARI,20.6,T. Pollard RB - TEN,18.8,J. Palmer WR - BUF,4.4,J. Mixon RB - HOU,0.0,M. Williams WR,0.0,,,130.54,Los Cheezos Ritzos,69.12
Los Cheezos Ritzos,7,T. Brady QB,16.02,A. Ekeler RB - WAS,6.3,A. Kamara RB - NO,4.5,J. Smith-Schuster WR - KC,3.3,D. Adams WR - LAR,18.6,Z. Ertz TE - WAS,1.2,A. Cooper WR,3.2,R. Gould K,10.0,49ers DEF,6.0,A. Gibson RB - NE,11.8,B. Aiyuk WR - SF,6.4,J. Tucker K,0.0,E. Elliott RB,0.0,T. Boyd WR,0.0,L. Jackson QB - BAL,0.0,,,69.12,Weizen Express,130.54
Snatchville Lubricators,3,D. Carr QB,17.92,A. Jones RB - MIN,21.6,J. Taylor RB - IND,22.3,D. Smith WR - PHI,7.9,M. Pittman WR - IND,5.3,T. Higbee TE - LAR,7.3,A. Lazard WR - NYJ,4.5,B. McManus K - GB,4.9,Buccaneers DEF,6.0,B. Robinson RB - SF,14.6,A. St. Brown WR - DET,12.1,D. London WR - ATL,9.8,K. Allen WR - LAC,0.0,K. Drake RB,0.0,J. Burrow QB - CIN,0.0,,,97.72,SimonFuhr237,79.6
SimonFuhr237,6,D. Prescott QB - DAL,19.2,D. Henry RB - BAL,6.7,K. Walker RB - SEA,7.2,S. Diggs WR - NE,12.8,T. Lockett WR - TEN,10.2,D. Goedert TE - PHI,6.3,D. Swift RB - CHI,7.2,D. Carlson K - LV,2.0,Bills DEF,8.0,C. Sutton WR - DEN,6.6,A. Dillon RB - PHI,6.5,M. Andrews TE - BAL,0.0,K. Murray QB - ARI,0.0,T. Higgins WR - CIN,0.0,C. Edwards-Helaire RB - KC,0.0,M. Carter RB - ARI,0.0,79.6,Snatchville Lubricators,97.72
Show Me Your TDs,5,J. Hurts QB - PHI,21.8,T. Etienne RB - JAX,7.3,D. Cook RB,20.6,T. Hill WR - MIA,10.4,D. Metcalf WR - PIT,7.1,K. Pitts TE - ATL,2.8,M. Sanders RB - DAL,5.4,H. Butker K - KC,3.0,Titans DEF,12.0,D. Samuel WR - WAS,5.1,A. Thielen WR - MIN,4.9,C. Olave WR - NO,4.0,T. Allgeier RB - ATL,0.3,J. Jeudy WR - CLE,0.0,J. Robinson RB,0.0,,,90.4,Juschka,59.6
Juschka,8,J. Allen QB - BUF,19.6,C. Patterson RB,2.0,D. Montgomery RB - DET,4.4,W. Robinson WR - NYG,1.5,M. Evans WR - TB,5.4,M. Gesicki TE - CIN,3.1,J. Jacobs RB - GB,16.6,R. Succop K,3.0,Seahawks DEF,4.0,J. Wilson RB - MIA,20.3,N. Harris RB - LAC,9.9,D. Johnson WR,6.3,G. Edwards RB,0.0,J. Chase WR - CIN,0.0,R. Doubs WR - GB,0.0,,,59.6,Show Me Your TDs,90.4
oG United,2,T. Tagovailoa QB - MIA,23.4,N. Chubb RB - HOU,12.1,C. McCaffrey RB - SF,13.7,C. Godwin WR - TB,13.1,C. Lamb WR - DAL,27.0,G. Kittle TE - SF,2.1,A. Brown WR - PHI,0.7,J. Myers K - SEA,6.5,Broncos DEF,4.0,D. Singletary RB - NYG,14.7,J. Williams RB,11.9,D. Moore WR - CHI,2.9,J. Dobbins RB - DEN,0.0,R. Stevenson RB - NE,0.0,Patriots DEF,0.0,,,102.6,Suckme Mourdock Network,95.14
Suckme Mourdock Network,4,J. Herbert QB - LAC,12.04,R. Mostert RB - LV,14.7,L. Fournette RB,9.8,D. Hopkins WR - BAL,9.8,J. Waddle WR - MIA,6.6,T. Hockenson TE - MIN,4.5,J. Jefferson WR - MIN,25.3,W. Lutz K - DEN,5.4,Eagles DEF,7.0,C. Kirk WR - HOU,22.5,K. Cousins QB - ATL,15.48,T. McLaurin WR - WAS,12.8,K. Hunt RB - KC,1.9,T. Hill TE - NO,0.1,D. Harris RB,0.0,,,95.14,oG United,102.6
