TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Los Cheezos Ritzos,1,12-4-0,"1,641.46","1,475.50",1,LosSausages,26,5,
Weizen Express,2,11-5-0,"1,917.02","1,561.30",2,ShamH,65,5,8
oG United,3,10-6-0,"1,760.44","1,653.78",1,Jottage,41,5,
Show Me Your TDs,4,9-7-0,"1,624.94","1,552.14",4,theBIGLebronski,41,5,
Snatchville Lubricators,5,8-8-0,"1,449.92","1,556.68",8,kesso,16,5,
SimonFuhr237,6,5-11-0,"1,626.32","1,790.60",6,SimonFuhr237,24,5,
Juschka,7,5-11-0,"1,442.62","1,613.98",7,Juschka,43,5,
Suckme Mourdock Network,8,4-12-0,"1,396.62","1,655.36",5,lancemourdock,25,5,
