Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dreggsverein,1,J. Daniels QB - WAS,19.7,J. Taylor RB - IND,27.5,J. Conner RB - ARI,11.2,J. Jefferson WR - MIN,8.1,M. Nabers WR - NYG,28.7,K. Pitts TE - ATL,3.7,J. Croskey-Merritt RB - WAS,1.7,S. Shrader K - IND,19.4,Broncos DEF,0.0,J. Williams WR - DET,16.8,N. Chubb RB - HOU,13.2,T. McMillan WR - CAR,10.0,E. Egbuka WR - TB,8.9,R. Harvey RB - DEN,2.4,T. Hunter WR - JAX,2.2,G. Kittle TE - SF,0.0,120.0,Juschka,107.4
Juschka,3,B. Mayfield QB - TB,19.9,C. McCaffrey RB - SF,16.7,J. Jacobs RB - GB,14.4,J. Chase WR - CIN,22.5,M. Evans WR - TB,5.6,M. Andrews TE - BAL,0.4,D. Swift RB - CHI,10.9,W. Lutz K - DEN,4.0,Ravens DEF,13.0,D. Adams WR - LAR,16.6,T. Etienne RB - JAX,14.9,C. Ridley WR - TEN,5.7,G. Wilson WR - NYJ,5.0,R. Dowdle RB - CAR,1.9,J. Reed WR - GB,0.0,T. Spears RB - TEN,0.0,107.4,Dreggsverein,120.0
Snatchville Lubricators,2,P. Mahomes QB - KC,22.08,D. Henry RB - BAL,2.3,C. Brown RB - CIN,6.5,A. St. Brown WR - DET,30.2,T. Higgins WR - CIN,11.6,B. Bowers TE - LV,3.8,C. Sutton WR - DEN,0.6,B. Aubrey K - DAL,24.5,Bills DEF,10.0,R. Stevenson RB - NE,16.2,J. Dobbins RB - DEN,14.5,J. Waddle WR - MIA,12.8,Q. Judkins RB - CLE,7.1,Buccaneers DEF,4.0,K. Shakir WR - BUF,1.2,J. Mixon RB - HOU,0.0,111.58,Extrem durstige Welse,76.84
Extrem durstige Welse,8,J. Burrow QB - CIN,7.04,A. Kamara RB - NO,10.0,K. Williams RB - LAR,8.0,L. McConkey WR - LAC,4.8,J. Smith-Njigba WR - SEA,10.3,T. Kelce TE - KC,6.1,B. Robinson RB - ATL,16.8,C. Dicker K - LAC,8.8,Steelers DEF,5.0,J. Warren RB - PIT,13.4,D. Sampson RB - CLE,7.9,R. Pearsall WR - SF,5.2,D. Moore WR - CHI,4.6,I. Pacheco RB - KC,2.9,B. Robinson RB - SF,1.9,,,76.84,Snatchville Lubricators,111.58
Talahon United,7,J. Hurts QB - PHI,11.54,J. Gibbs RB - DET,16.4,B. Hall RB - NYJ,3.8,B. Thomas WR - JAX,4.9,T. Hill WR - MIA,10.9,T. Hockenson TE - MIN,1.2,B. Irving RB - TB,12.1,C. Boswell K - PIT,14.1,Eagles DEF,5.0,R. White RB - TB,12.6,T. Pollard RB - TEN,9.2,Z. Flowers WR - BAL,7.9,Z. Charbonnet RB - SEA,1.0,R. Rice WR - KC,0.0,J. Addison WR - MIN,0.0,,,79.94,oG United,91.1
oG United,6,L. Jackson QB - BAL,26.3,T. Henderson RB - NE,4.0,C. Hubbard RB - CAR,13.7,C. Lamb WR - DAL,11.2,D. London WR - ATL,2.9,D. Njoku TE - CLE,4.0,N. Collins WR - HOU,11.2,K. Fairbairn K - HOU,9.8,Rams DEF,8.0,K. Walker RB - SEA,17.8,D. Samuel WR - WAS,10.4,D. Smith WR - PHI,5.3,T. Benson RB - ARI,4.4,J. Mason RB - MIN,3.8,H. Brown WR - KC,3.0,,,91.1,Talahon United,79.94
I_hate_Kowa,5,J. Herbert QB - LAC,18.78,S. Barkley RB - PHI,15.4,D. Achane RB - MIA,18.2,A. Brown WR - PHI,2.7,T. McLaurin WR - WAS,4.8,T. McBride TE - ARI,7.8,D. Montgomery RB - DET,12.1,T. Loop K - BAL,12.5,49ers DEF,5.0,R. Odunze WR - CHI,24.8,G. Pickens WR - DAL,12.8,D. Metcalf WR - PIT,8.0,T. Warren TE - IND,7.9,K. Coleman WR - BUF,2.6,A. Jones RB - MIN,2.3,,,97.28,Suckme Mourdock Network,100.52
Suckme Mourdock Network,4,J. Allen QB - BUF,11.82,A. Jeanty RB - LV,4.4,J. Williams RB - DAL,19.0,P. Nacua WR - LAR,19.6,M. Harrison WR - ARI,2.7,S. LaPorta TE - DET,2.6,J. Cook RB - BUF,25.5,J. Elliott K - PHI,12.9,Commanders DEF,2.0,C. Kupp WR - SEA,9.0,C. Olave WR - NO,5.4,T. Tracy RB - NYG,5.1,J. Jeudy WR - CLE,5.1,O. Hampton RB - LAC,2.5,X. Worthy WR - KC,0.0,,,100.52,I_hate_Kowa,97.28
