Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Weizen Express,6,P. Mahomes QB - KC,18.4,S. Barkley RB - PHI,11.2,T. Pollard RB - TEN,6.1,T. Hill WR - MIA,9.0,A. Cooper WR,9.4,T. Kelce TE - KC,11.7,J. Conner RB - ARI,18.0,T. Bass K - BUF,11.2,Cowboys DEF,4.0,C. Watson WR - GB,17.0,C. Olave WR - NO,6.2,D. Pierce RB - HOU,1.6,O. Beckham WR,0.0,M. Williams WR,0.0,J. Williams WR - DET,0.0,,,99.0,Suckme Mourdock Network,63.92
Suckme Mourdock Network,8,G. Smith QB - LV,19.32,L. Fournette RB,0.0,R. Mostert RB - LV,0.0,C. Kirk WR - HOU,4.1,J. Waddle WR - MIA,8.5,T. Hockenson TE - MIN,10.3,T. McLaurin WR - WAS,5.3,J. Myers K - SEA,10.4,Eagles DEF,6.0,C. Godwin WR - TB,17.0,D. Hopkins WR - BAL,14.7,J. Williams RB,10.6,C. Akers RB - MIN,3.7,K. Hunt RB - KC,2.1,D. Harris RB,1.6,,,63.92,Weizen Express,99.0
Snatchville Lubricators,7,J. Burrow QB - CIN,18.0,A. Jones RB - MIN,15.9,J. Taylor RB - IND,15.8,A. St. Brown WR - DET,18.9,M. Pittman WR - IND,12.1,T. Higbee TE - LAR,0.0,K. Allen WR - LAC,10.9,B. McManus K - GB,4.0,Bengals DEF,2.0,D. Carr QB,20.8,B. Robinson RB - SF,18.5,D. Smith WR - PHI,5.0,D. London WR - ATL,2.9,A. Lazard WR - NYJ,2.4,K. Drake RB,0.2,,,97.6,Show Me Your TDs,105.72
Show Me Your TDs,4,J. Hurts QB - PHI,29.82,T. Etienne RB - JAX,0.3,D. Cook RB,5.6,G. Davis WR - BUF,3.8,D. Samuel WR - WAS,4.3,D. Knox TE - BUF,1.7,M. Sanders RB - DAL,28.0,H. Butker K - KC,14.2,Dolphins DEF,18.0,S. Perine RB - CIN,15.3,A. Thielen WR - MIN,12.1,D. Metcalf WR - PIT,9.0,E. Mitchell RB - KC,4.3,J. Mixon RB - HOU,0.0,J. Fields QB - NYJ,0.0,,,105.72,Snatchville Lubricators,97.6
SimonFuhr237,3,D. Prescott QB - DAL,14.84,D. Henry RB - BAL,11.7,K. Walker RB - SEA,15.9,S. Diggs WR - NE,13.7,T. Higgins WR - CIN,17.4,M. Andrews TE - BAL,7.0,L. Murray RB,9.8,D. Carlson K - LV,10.6,Bills DEF,8.0,K. Murray QB - ARI,25.24,T. Lockett WR - TEN,12.8,C. Sutton WR - DEN,7.5,D. Swift RB - CHI,6.3,A. Robinson WR,0.0,,,,,108.94,Juschka,133.02
Juschka,1,J. Allen QB - BUF,29.92,J. Wilson RB - MIA,11.2,J. Jacobs RB - GB,42.3,V. Jefferson WR - TEN,8.9,M. Evans WR - TB,3.1,C. Kmet TE - CHI,2.7,N. Harris RB - LAC,9.9,N. Folk K - NYJ,16.0,Vikings DEF,9.0,D. Montgomery RB - DET,11.3,G. Edwards RB,9.2,C. Patterson RB,7.1,D. Johnson WR,4.9,J. Chase WR - CIN,0.0,,,,,133.02,SimonFuhr237,108.94
Los Cheezos Ritzos,2,L. Jackson QB - BAL,23.06,A. Ekeler RB - WAS,14.0,E. Elliott RB,15.5,B. Aiyuk WR - SF,6.5,D. Adams WR - LAR,7.4,D. Schultz TE - HOU,15.1,A. Kamara RB - NO,1.0,J. Tucker K,15.5,49ers DEF,15.0,T. Brady QB,18.04,I. Pacheco RB - KC,14.6,D. Foreman RB,11.3,A. Gibson RB - NE,5.4,J. Smith-Schuster WR - KC,3.8,T. Boyd WR,1.6,,,113.06,oG United,100.9
oG United,5,T. Tagovailoa QB - MIA,15.96,N. Chubb RB - HOU,19.2,R. Stevenson RB - NE,11.2,J. Jefferson WR - MIN,20.34,C. Lamb WR - DAL,11.7,G. Kittle TE - SF,2.6,C. McCaffrey RB - SF,4.9,B. Maher K,4.0,Chiefs DEF,11.0,D. Moore WR - CHI,16.3,R. White RB - TB,10.9,A. Brown WR - PHI,8.6,D. Singletary RB - NYG,8.0,Ravens DEF,5.0,D. Watson QB - CLE,0.0,,,100.9,Los Cheezos Ritzos,113.06
