Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Weizen Express,2,P. Mahomes QB - KC,23.76,S. Barkley RB - PHI,19.3,T. Pollard RB - TEN,8.0,T. Hill WR - MIA,10.3,C. Watson WR - GB,4.9,T. Kelce TE - KC,11.3,J. Conner RB - ARI,18.0,C. Dicker K - LAC,8.0,Ravens DEF,8.0,T. Allgeier RB - ATL,11.7,M. Williams WR,7.6,A. Cooper WR,7.2,Cowboys DEF,7.0,D. Goedert TE - PHI,6.7,Browns DEF,3.0,G. Wilson WR - NYJ,1.0,111.56,oG United,123.3
oG United,1,J. Herbert QB - LAC,5.5,N. Chubb RB - HOU,10.2,R. Stevenson RB - NE,1.3,J. Jefferson WR - MIN,19.3,C. Lamb WR - DAL,24.0,G. Kittle TE - SF,24.0,C. McCaffrey RB - SF,11.8,B. Maher K,19.2,Buccaneers DEF,8.0,D. Singletary RB - NYG,18.5,D. Moore WR - CHI,15.1,R. White RB - TB,11.3,T. Tagovailoa QB - MIA,10.4,A. Brown WR - PHI,10.3,Titans DEF,4.0,,,123.3,Weizen Express,111.56
Snatchville Lubricators,3,J. Burrow QB - CIN,23.5,A. Jones RB - MIN,3.4,J. McKinnon RB,9.8,A. St. Brown WR - DET,7.6,D. Smith WR - PHI,23.3,G. Everett TE,0.0,K. Allen WR - LAC,10.4,B. McManus K - GB,10.3,Bengals DEF,10.0,T. Higbee TE - LAR,21.4,A. Lazard WR - NYJ,6.1,B. Robinson RB - SF,5.8,M. Pittman WR - IND,3.9,K. Drake RB,0.0,J. Taylor RB - IND,0.0,,,98.3,Juschka,55.98
Juschka,8,J. Allen QB - BUF,22.98,N. Harris RB - LAC,9.5,J. Jacobs RB - GB,5.0,J. Chase WR - CIN,5.9,M. Evans WR - TB,2.9,D. Njoku TE - CLE,1.4,B. Knight RB - ARI,1.3,N. Folk K - NYJ,0.0,Vikings DEF,7.0,J. Wilson RB - MIA,10.0,G. Edwards RB,9.9,D. Montgomery RB - DET,6.4,C. Patterson RB,3.1,C. Kmet TE - CHI,2.7,V. Jefferson WR - TEN,1.9,,,55.98,Snatchville Lubricators,98.3
SimonFuhr237,5,T. Lawrence QB - JAX,18.26,D. Henry RB - BAL,16.6,K. Walker RB - SEA,10.5,S. Diggs WR - NE,2.6,T. Higgins WR - CIN,18.8,M. Andrews TE - BAL,4.5,L. Murray RB,6.0,D. Carlson K - LV,5.0,Bills DEF,10.0,D. Prescott QB - DAL,27.98,M. Gallup WR,9.6,Z. Moss RB,7.0,D. Swift RB - CHI,2.5,T. Lockett WR - TEN,0.0,K. Murray QB - ARI,0.0,,,92.26,Suckme Mourdock Network,80.54
Suckme Mourdock Network,6,T. Brady QB,11.34,J. Williams RB,1.4,R. Mostert RB - LV,2.9,D. Hopkins WR - BAL,0.4,J. Waddle WR - MIA,20.3,T. Hockenson TE - MIN,22.9,C. Godwin WR - TB,6.3,W. Lutz K - DEN,5.0,Eagles DEF,10.0,C. Akers RB - MIN,32.7,L. Fournette RB,16.2,T. McLaurin WR - WAS,13.7,G. Smith QB - LV,12.2,C. Kirk WR - HOU,2.6,K. Hunt RB - KC,2.2,,,80.54,SimonFuhr237,92.26
Los Cheezos Ritzos,4,K. Cousins QB - ATL,24.16,A. Kamara RB - NO,17.0,A. Dillon RB - PHI,10.8,J. Smith-Schuster WR - KC,2.7,D. Adams WR - LAR,1.5,D. Schultz TE - HOU,4.3,A. Ekeler RB - WAS,19.9,J. Tucker K,9.0,49ers DEF,7.0,D. Foreman RB,22.5,E. Elliott RB,12.1,I. Pacheco RB - KC,9.0,B. Aiyuk WR - SF,8.1,J. Dobbins RB - DEN,5.9,L. Jackson QB - BAL,0.0,,,96.36,Show Me Your TDs,62.76
Show Me Your TDs,7,J. Fields QB - NYJ,9.86,M. Sanders RB - DAL,5.1,D. Cook RB,7.7,J. Jeudy WR - CLE,11.7,D. Metcalf WR - PIT,8.1,D. Waller TE - MIA,5.8,J. Mixon RB - HOU,10.8,H. Butker K - KC,7.7,Broncos DEF,-4.0,T. Etienne RB - JAX,11.2,G. Davis WR - BUF,8.5,P. Freiermuth TE - PIT,6.6,A. Thielen WR - MIN,0.6,D. Samuel WR - WAS,0.0,J. Hurts QB - PHI,0.0,,,62.76,Los Cheezos Ritzos,96.36
