TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Benni	1	Benni	2	121.16	129.3
Kessi	2	Kessi	1	115.48	95.44
Simi	3	Simi	4	112.76	84.36
Ritz	4	Ritz	3	71.24	70.08
Tommy	5	Tommy	6	102.08	102.4
Erik	6	Erik	5	164.3	92.98
Marv	7	Marv	7	69.86	144.14
Juschka	8	Juschka	8	103.44	96.58
