TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Erik	2	Erik	1	142.38	112.02
Marv	1	Marv	2	134.62	125.46
Benni	4	Benni	3	132.86	99.9
Tommy	3	Tommy	4	83.2	122.54
Juschka	7	Juschka	5	82.44	78.56
Simi	5	Simi	6	97.52	133.46
Ritz	8	Ritz	7	88.28	69.7
Kessi	5	Kessi	8	113.88	91.66
