TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Marv	1	Marv	4	164.08	112.96
Benni	2	Benni	2	119.74	110.94
Kessi	3	Kessi	3	77.16	134.70
Tommy	4	Tommy	1	119.90	112.38
Ritz	5	Ritz	6	87.34	130.58
Simi	6	Simi	5	116.90	126.14
Juschka	7	Juschka	8	87.18	125.32
Erik	8	Erik	7	79.94	92.32
