TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Simi	1	Simon2307	1	101.18	102.62
Ritz	4	LosSausages	2	75.72	79.76
Erik	2	Jottage	3	109.68	80.8
Benni	3	ShamH	4	72.1	84.04
Marv	8	lancemourdock	5	72.08	0
Kessi	8	kesso	6	77.64	0
Tommy	5	theBIGLebronski	7	119.38	124.78
Juschka	6	Juschka	8	124.94	77.26
