TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Erik	1	Erik	4	124.12	123.30
Benni	2	Benni	2	118.54	111.56
Ritz	3	Ritz	1	89.40	96.36
Tommy	4	Tommy	3	91.10	62.76
Kessi	5	Kessi	5	93.50	98.30
Juschka	6	Juschka	7	104.96	55.98
Simi	7	Simi	6	94.74	92.26
Marv	8	Marv	8	81.94	80.54

