TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Erik	3	Erik	1	79.24	64.38
Benni	1	Benni	2	101.88	129.9
Tommy	4	Tommy	3	73.84	61.94
Marv	2	Marv	4	98.3	118.46
Ritz	6	Ritz	5	93.12	64.08
Kessi	8	Kessi	6	90.18	107.8
Simi	5	Simi	7	119.7	128.02
Juschka	7	Juschka	8	83.18	135.4
