Season	TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
2020	Marv	1	12-2-0	1664.62	1429.72		lancemourdock			6
2020	Juschka	2	9-5-0	1551.7	1388.32		Juschka			5
2020	Benni	3	8-6-0	1564.04	1401.4		ShamH			7
2020	Kessi	4	7-7-0	1422.02	1349.1		kesso			4
2020	Ritz	5	7-7-0	1380.24	1465.68		LosSausages			8
2020	Erik	6	5-9-0	1383.96	1478.8		Jottage			1
2020	Simi	7	4-10-0	1315.12	1489.1		Simon2307			2
2020	Tommy	8	4-10-0	1232.58	1512.16		theBIGLebronski			3
