TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Marv	4	lancemourdock	1	111.86	106.42
Juschka	3	Juschka	2	122.26	127.52
Benni	2	ShamH	3	125.52	79.58
Kessi	1	kesso	4	116.72	107.96
Ritz	5	LosSausages	5	109.72	149.44
Erik	6	Jottage	6	136.64	109.08
Simi	8	Simon2307	7	58.44	69.6
Tommy	7	theBIGLebronski	8	87.5	98.22
