Season	TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
2021	Erik	1	10-4-0	1384.5	1275.22		Jottage			1
2021	Benni	2	9-5-0	1577.46	1385.6		ShamH			2
2021	Ritz	3	7-7-0	1540.12	1490.18		LosSausages			6
2021	Kessi	4	7-7-0	1505.58	1458.56		kesso			3
2021	Tommy	5	7-7-0	1408.72	1464.08		theBIGLebronski			4
2021	Marv	6	7-7-0	1351.2	1383.04		lancemourdock			5
2021	Simi	7	5-9-0	1381.16	1561.62		Simon2307			7
2021	Juschka	8	4-10-0	1425.36	1555.8		Juschka			8
