TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Erik	3	Jottage	1	79.24	64.38
Benni	1	ShamH	2	101.88	129.9
Tommy	4	theBIGLebronski	3	73.84	61.94
Marv	2	lancemourdock	4	98.3	118.46
Ritz	6	LosSausages	5	93.12	64.08
Kessi	8	kesso	6	90.18	107.8
Simi	5	Simon2307	7	119.7	128.02
Juschka	7	Juschka	8	83.18	135.4
