TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
Ritz	3	LosSausages	1	97.9	140.20
Benni	4	ShamH	2	75.04	126.76
Juschka	2	Juschka	3	80.82	77.04
Tommy	1	theBIGLebronski	4	100.52	114.52
Marv	6	lancemourdock	5	71.22	74.54
Erik	5	Jottage	6	94.78	105.64
Simi	8	Simon2307	7	88.74	107.76
Kessi	7	kesso	8	66.56	112.26
