TeamName	PlayoffRank	ManagerName	Seed	Week15Pts	Week16Pts
oG United	1	Jottage	4	156.42	120.32
I_hate_Kowa	2	theBIGLebronski	2	109.56	85.28
Glizzy Gladiators	3	ShamH	3	71.54	84.18
Simon2307	4	Simon2307	1	51.36	72.72
Andertheker	5	LosSausages	5	100.00	136.18
Snatchville Lubricators	6	kesso	7	95.72	104.44
Juschka	7	Juschka	8	92.78	121.12
Suckme Mourdock Network	8	lancemourdock	6	75.96	68.00
